,follower_count,friend_count,geo,location,name,place,retweet_count,screen_name,source,status_id,status_text,time_zone,tmstamp
435,6390,53,,"Colorado, USA",Bitconnect Lending,"{'id': 'b49b3053b5c25bf5', 'url': 'https://api.twitter.com/1.1/geo/id/b49b3053b5c25bf5.json', 'place_type': 'city', 'name': 'Denver', 'full_name': 'Denver, CO', 'country_code': 'US', 'country': 'United States', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-105.109815, 39.614151], [-104.734372, 39.614151], [-104.734372, 39.812975], [-105.109815, 39.812975]]]}, 'attributes': {}}",1,Bitconnectlend,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",943201408047861760,I must admit #xvg verge is the next subject to talk about come 2018!! #Bittrex #bitcoin #cryptocurrency #crypto,,Tue Dec 19 19:28:34 +0000 2017
436,379,630,,"San Francisco, CA",Santosh Addagulla,,0,santoshspeed,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",943201391740198912,"$xvg #VergeCoin #VERGE news.

John Mcafee very bullish on it. https://t.co/PeaTMvpdYI",,Tue Dec 19 19:28:30 +0000 2017
437,201,310,,Moon ,hold the door,,0,John_P_Saliba,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",943201375550300160,@Rumorgraphy @vergecurrency You forgot to mention the web wallet they shut down on all their owners in July with no… https://t.co/sARHh7pE0N,,Tue Dec 19 19:28:26 +0000 2017
438,1303,718,,France,APPRENDRE A TRADER,,0,ApprendreT,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",943201370370428934,XVG showing some solid\u2026 $XVGUSD https://t.co/331dTBpWuB TV_TradingIdeas,Brussels,Tue Dec 19 19:28:25 +0000 2017
439,41,12,,,cryptomiljonairs,,1,cryptomiljonai1,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",943201367207931905,RT @altcoinleads: #altcoins #cryptocurrency #verge #xvg https://t.co/dymbPSMrDE,Pacific Time (US & Canada),Tue Dec 19 19:28:24 +0000 2017
440,55,94,,"San Antonio, TX",Ryan,,0,RyanAdamson,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",943201316872081408,$XVG 🔥🔥🔥🚀🚀🚀🌝🌝🌝 https://t.co/yn8WhGOdNZ,,Tue Dec 19 19:28:12 +0000 2017
441,60,69,,"Dubai, UAE",Aravind C,,8,aravindc82,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",943201311574642688,"RT @Prince_Mishkin: @mweingarten7 I already know I'm not getting sleep tonight. If $xvg #xvg announced #wraithprotocol right now, I might j…",,Tue Dec 19 19:28:11 +0000 2017
442,174,333,,Karaj,Hamed Salehi Rad,,2,HamedSalehiRad1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",943201292838756352,"RT @jaieliz: $xvg is flying 

#verge https://t.co/GsE86PfBuH",,Tue Dec 19 19:28:06 +0000 2017
443,41,12,,,cryptomiljonairs,,0,cryptomiljonai1,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",943201272882135040,#HOLD DON'T SELL AND DUMP YES YOU WON 200 EXTRA COINS SO WHAT #HOLD #HOLD #HOLD YESSSSSSS GOOGGOOGOGOGOGO 🚀🚀🚀🚀🚀🚀🚀🚀🚀… https://t.co/ZCZotZxCay,Pacific Time (US & Canada),Tue Dec 19 19:28:01 +0000 2017
444,26,48,,"West Linn, OR",Brandon Butler,,2,Manbeardlegend,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",943201234604847104,Can't wait to see what XVG does when the Asian markets wake up. $XVG,,Tue Dec 19 19:27:52 +0000 2017
